# Wavelength (Å), Efficiency
3.330000000000000071e+00,8.558664243601569188e-01
3.339999999999999858e+00,8.561457177339280022e-01
3.349999999999999645e+00,8.563622096003554729e-01
3.359999999999999876e+00,8.565679567309676390e-01
3.369999999999999662e+00,8.565226030906499810e-01
3.379999999999999893e+00,8.564676497315437675e-01
3.389999999999999680e+00,8.564743726409413949e-01
3.399999999999999911e+00,8.564968657536385921e-01
3.409999999999999698e+00,8.567433277157195937e-01
3.419999999999999929e+00,8.569704721080316778e-01
3.429999999999999716e+00,8.570667905528130959e-01
3.439999999999999947e+00,8.571530231093116292e-01
3.449999999999999734e+00,8.571871400783820372e-01
3.459999999999999964e+00,8.572003824565674890e-01
3.469999999999999751e+00,8.571047343534474727e-01
3.479999999999999982e+00,8.570225953710104427e-01
3.489999999999999769e+00,8.570177405789053404e-01
3.500000000000000000e+00,8.570628631421152166e-01
3.509999999999999787e+00,8.574083688432082573e-01
3.520000000000000018e+00,8.577073336836857909e-01
3.529999999999999805e+00,8.577069389464629934e-01
3.540000000000000036e+00,8.577146766079387641e-01
3.549999999999999822e+00,8.578133357945355586e-01
3.560000000000000053e+00,8.578988728230055871e-01
3.569999999999999840e+00,8.577847653545812578e-01
3.580000000000000071e+00,8.576703923673889562e-01
3.589999999999999858e+00,8.578410651985379776e-01
3.599999999999999645e+00,8.580100841786101329e-01
3.609999999999999876e+00,8.580052383418125261e-01
3.619999999999999662e+00,8.579863775760070421e-01
3.629999999999999893e+00,8.581257384690104129e-01
3.639999999999999680e+00,8.582904746393227313e-01
3.649999999999999911e+00,8.582686781199410087e-01
3.659999999999999698e+00,8.581879736795708924e-01
3.669999999999999929e+00,8.582048163779977257e-01
3.679999999999999716e+00,8.582714257507807476e-01
3.689999999999999947e+00,8.582916086679927004e-01
3.699999999999999734e+00,8.582726371505207119e-01
3.709999999999999964e+00,8.582560128675347233e-01
3.719999999999999751e+00,8.582432728384408183e-01
3.729999999999999982e+00,8.582629097853203826e-01
3.739999999999999769e+00,8.583685414813372327e-01
3.750000000000000000e+00,8.584632953586891491e-01
3.759999999999999787e+00,8.584938342937928901e-01
3.770000000000000018e+00,8.585231700090101281e-01
3.779999999999999805e+00,8.587063012580823385e-01
3.790000000000000036e+00,8.588934109931980476e-01
3.799999999999999822e+00,8.588189493317694989e-01
3.810000000000000053e+00,8.586726782534823688e-01
3.819999999999999840e+00,8.587213032844163152e-01
3.830000000000000071e+00,8.589011206317058722e-01
3.839999999999999858e+00,8.589761999866517561e-01
3.849999999999999645e+00,8.588916425148234168e-01
3.859999999999999876e+00,8.588558009690266948e-01
3.869999999999999662e+00,8.590457870332468548e-01
3.879999999999999893e+00,8.592334691950272996e-01
3.889999999999999680e+00,8.590932062674296876e-01
3.899999999999999911e+00,8.589358280509210575e-01
3.909999999999999698e+00,8.588428854340688368e-01
3.919999999999999929e+00,8.587761327811181955e-01
3.929999999999999716e+00,8.587447413254455375e-01
